WIDTH,HEIGHT,TOTAL ACTUAL WEIGHT,TOTAL BLANK WEIGHT
990,540,4.24,4.70
1020,540,4.38,4.85
1050,540,4.52,5.00
1080,540,4.67,5.14
1110,540,4.81,5.29
1140,540,4.90,5.43
1170,540,5.04,5.58
1200,540,5.19,5.73
600,570,2.70,2.97
630,570,2.85,3.12
660,570,3.00,3.28
690,570,3.10,3.43
720,570,3.25,3.59
750,570,3.40,3.74
780,570,3.55,3.90
810,570,3.70,4.05
840,570,3.80,4.20
870,570,3.95,4.36
900,570,4.11,4.51
930,570,4.26,4.67
960,570,4.41,4.82
990,570,4.51,4.98
1020,570,4.66,5.13
1050,570,4.81,5.29
1080,570,4.96,5.44
1110,570,5.11,5.59
1140,570,5.21,5.75
1170,570,5.36,5.90
1200,570,5.52,6.06
600,600,2.80,3.13
630,600,2.96,3.29
660,600,3.12,3.46
690,600,3.21,3.62
720,600,3.37,3.78
750,600,3.53,3.95
780,600,3.69,4.11
810,600,3.85,4.27
840,600,3.94,4.44
870,600,4.10,4.60
900,600,4.26,4.76
930,600,4.42,4.92
960,600,4.58,5.09
990,600,4.67,5.25
1020,600,4.83,5.41
1050,600,4.99,5.58
1080,600,5.15,5.74
1110,600,5.31,5.90
1140,600,5.40,6.06
1170,600,5.56,6.23
1200,600,5.72,6.39
600,630,2.96,3.29
630,630,3.13,3.47
660,630,3.30,3.64
690,630,3.40,3.81
720,630,3.57,3.98
750,630,3.74,4.15
780,630,3.90,4.32
810,630,4.07,4.49
840,630,4.17,4.67
870,630,4.34,4.84
900,630,4.51,5.01
930,630,4.68,5.18
960,630,4.84,5.35
990,630,4.94,5.52
1020,630,5.11,5.69
1050,630,5.28,5.87
1080,630,5.45,6.04
1110,630,5.62,6.21
1140,630,5.71,6.38
1170,630,5.88,6.55
1200,630,6.05,6.72
600,660,3.12,3.46
630,660,3.30,3.64
660,660,3.48,3.82
690,660,3.58,4.00
720,660,3.76,4.18
750,660,3.94,4.36
780,660,4.11,4.54
810,660,4.29,4.72
840,660,4.40,4.90
870,660,4.57,5.08
900,660,4.75,5.26
930,660,4.93,5.44
960,660,5.11,5.62
990,660,5.21,5.80
1020,660,5.39,5.98
1050,660,5.57,6.16
1080,660,5.74,6.34
1110,660,5.92,6.52
1140,660,6.03,6.70
1170,660,6.20,6.88
1200,660,6.38,7.06
600,690,3.28,3.62
630,690,3.47,3.81
660,690,3.65,4.00
690,690,3.77,4.19
720,690,3.95,4.37
750,690,4.14,4.56
780,690,4.33,4.75
810,690,4.51,4.94
840,690,4.63,5.13
870,690,4.81,5.32
900,690,5.00,5.50
930,690,5.18,5.69
960,690,5.37,5.88
990,690,5.48,6.07
1020,690,5.67,6.26
1050,690,5.85,6.45
1080,690,6.04,6.63
1110,690,6.22,6.82
1140,690,6.34,7.01
1170,690,6.52,7.20
1200,690,6.71,7.39
600,720,3.39,3.78
630,720,3.58,3.98
660,720,3.78,4.18
690,720,3.88,4.37
720,720,4.08,4.57
750,720,4.27,4.77
780,720,4.47,4.96
810,720,4.66,5.16
840,720,4.77,5.36
870,720,4.96,5.56
900,720,5.15,5.75
930,720,5.35,5.95
960,720,5.54,6.15
990,720,5.65,6.34
1020,720,5.84,6.54
1050,720,6.03,6.74
1080,720,6.23,6.93
1110,720,6.42,7.13
1140,720,6.53,7.33
1170,720,6.72,7.52
1200,720,6.92,7.72
600,750,3.55,3.95
630,750,3.75,4.15
660,750,3.96,4.36
690,750,4.07,4.56
720,750,4.27,4.77
750,750,4.47,4.97
780,750,4.68,5.18
810,750,4.88,5.38
840,750,4.99,5.59
870,750,5.20,5.79
900,750,5.40,6.00
930,750,5.60,6.21
